PlateThickness,InitialTemperature,HeatInput,ElectrodeVelocity,X,Y,Z,Max Temperature
0.003,240,1000,0.003,0.05,0.02,0.0015,1134.692831
0.005,180,1200,0.0035,0.0,0.025,0.0025,678.687495
0.004,240,1200,0.003,0.0,0.04,0.002,592.179686
0.003,200,1200,0.004,0.05,0.015,0.0015,621.889025
0.003,200,1200,0.003,0.0,0.04,0.0,522.050567
0.005,240,1200,0.0035,0.025,0.015,0.005,790.711557
0.005,200,1000,0.004,0.0,0.025,0.0025,579.7274
0.003,240,900,0.004,0.0,0.04,0.003,519.928119
0.003,200,900,0.003,0.0,0.025,0.0,680.413492
0.003,240,1000,0.004,0.0,0.015,0.003,809.533855
0.003,240,900,0.0035,0.0,0.015,0.0,869.363229
0.003,240,1200,0.003,0.05,0.0,0.0015,574.581301
0.004,200,1000,0.0035,0.025,0.015,0.002,646.199669
0.003,180,900,0.004,0.0,0.015,0.0,539.800013
0.004,200,1200,0.003,0.0,0.015,0.0,741.112637
0.003,200,1200,0.003,0.0,0.0,0.0015,739.114302
0.005,200,900,0.004,0.025,0.025,0.005,689.681733
0.004,240,1200,0.003,0.0,0.015,0.004,727.284451
0.004,240,1000,0.004,0.025,0.015,0.0,720.179608
0.004,180,1000,0.004,0.0,0.02,0.0,837.039714
0.005,200,1200,0.004,0.05,0.025,0.0025,601.313325
0.005,240,1000,0.0035,0.025,0.015,0.005,741.207986
0.003,180,1000,0.004,0.0,0.04,0.0015,582.90701
0.004,200,1200,0.003,0.0,0.025,0.0,739.067222
0.005,240,900,0.003,0.0,0.025,0.005,638.507185
0.004,200,900,0.003,0.025,0.0,0.0,586.912959
0.005,200,1000,0.0035,0.0,0.02,0.0,796.950423
0.004,200,1000,0.004,0.05,0.04,0.002,546.900678
0.003,200,1200,0.004,0.0,0.025,0.003,870.185131
0.003,240,1000,0.0035,0.025,0.025,0.0,703.901219
0.004,200,1200,0.0035,0.0,0.015,0.0,671.272428
0.005,180,1200,0.003,0.025,0.025,0.005,924.143887
0.004,200,900,0.0035,0.05,0.02,0.0,1440.701623
0.005,180,1200,0.003,0.05,0.0,0.0025,639.216449
0.003,240,1000,0.003,0.0,0.025,0.003,684.161995
0.004,180,900,0.0035,0.05,0.02,0.002,688.355219
0.003,200,1000,0.0035,0.0,0.04,0.0015,643.503555
0.004,240,1000,0.0035,0.025,0.02,0.0,1500.0
0.004,180,900,0.004,0.025,0.0,0.0,642.922509
0.005,240,1000,0.0035,0.05,0.02,0.0025,668.02567
0.004,200,1000,0.003,0.05,0.015,0.002,901.518654
0.005,180,900,0.003,0.025,0.04,0.0025,626.544791
0.005,180,1200,0.0035,0.025,0.015,0.005,852.22048
0.005,180,1200,0.003,0.05,0.015,0.0,743.821687
0.004,200,1200,0.0035,0.0,0.025,0.0,670.408033
0.003,240,1200,0.004,0.05,0.04,0.0015,508.506081
0.004,200,1200,0.0035,0.0,0.02,0.0,995.489526
0.005,180,1000,0.004,0.05,0.0,0.0,552.918766
0.003,200,900,0.004,0.0,0.04,0.003,495.367851
0.004,180,900,0.003,0.025,0.04,0.0,508.664249
0.003,200,1000,0.003,0.0,0.02,0.0015,710.074934
0.005,240,1000,0.004,0.025,0.02,0.0025,979.338255
0.005,240,1200,0.004,0.05,0.0,0.0,530.3333
0.005,200,900,0.003,0.0,0.04,0.005,585.404506
0.005,180,1000,0.0035,0.05,0.015,0.0025,649.24005
0.005,240,1000,0.0035,0.0,0.015,0.0025,603.489022
0.004,200,900,0.004,0.025,0.0,0.0,526.063836
0.005,240,1000,0.004,0.0,0.015,0.005,550.019352
0.005,240,900,0.003,0.05,0.025,0.0025,638.507185
0.005,240,1200,0.004,0.0,0.015,0.0,583.786596
0.004,180,1200,0.0035,0.025,0.025,0.002,761.701848
0.003,180,1000,0.0035,0.0,0.02,0.003,645.902755
0.005,180,900,0.003,0.025,0.015,0.005,854.364674
0.005,240,900,0.004,0.05,0.02,0.0025,545.583527
0.004,240,900,0.0035,0.0,0.015,0.0,598.439911
0.003,180,1000,0.003,0.025,0.025,0.003,922.904206
0.005,180,1200,0.004,0.025,0.015,0.005,780.981821
0.005,180,1000,0.003,0.05,0.015,0.0,703.521541
0.005,200,1000,0.0035,0.0,0.04,0.0025,560.454744
0.005,240,1200,0.0035,0.05,0.015,0.0,642.080486
0.003,200,900,0.004,0.025,0.025,0.0015,703.616448
0.003,200,1200,0.004,0.0,0.02,0.0015,1500.0
0.004,180,1000,0.003,0.05,0.02,0.004,899.290007
0.003,200,1000,0.003,0.025,0.0,0.003,568.633903
0.003,240,1000,0.004,0.0,0.04,0.003,533.0633
0.005,180,1000,0.003,0.025,0.0,0.005,636.566851
0.004,240,1000,0.003,0.0,0.02,0.0,1103.029779
0.004,200,900,0.003,0.025,0.015,0.0,686.530402
0.005,200,1200,0.004,0.025,0.015,0.005,754.744761
0.003,200,1200,0.0035,0.05,0.02,0.0,1074.573837
0.004,200,1000,0.004,0.025,0.015,0.002,592.425726
0.004,200,1200,0.004,0.025,0.02,0.0,1500.0
0.005,240,1200,0.0035,0.05,0.04,0.0,562.432564
0.003,200,900,0.004,0.0,0.0,0.0015,494.828438
0.004,180,900,0.0035,0.05,0.0,0.004,566.413199
0.005,200,900,0.0035,0.0,0.04,0.005,558.431055
0.004,240,1200,0.004,0.05,0.0,0.0,533.14278
0.005,240,900,0.0035,0.025,0.02,0.005,991.262042
0.004,200,1000,0.003,0.025,0.04,0.004,589.109929
0.004,180,1000,0.0035,0.05,0.02,0.004,654.218365
0.004,240,1000,0.0035,0.025,0.04,0.004,554.734922
0.004,200,1000,0.004,0.025,0.02,0.004,623.879475
0.005,180,900,0.0035,0.0,0.0,0.0025,571.162746
0.005,200,1000,0.004,0.05,0.02,0.0025,603.758215
0.005,240,1000,0.004,0.05,0.04,0.0,510.794006
0.005,240,1000,0.003,0.05,0.02,0.0025,786.0747
0.005,200,1200,0.004,0.05,0.02,0.0025,640.45735
0.005,200,1000,0.0035,0.025,0.02,0.005,1092.197998
0.004,200,1000,0.004,0.025,0.0,0.004,536.329231
0.004,200,1200,0.0035,0.0,0.04,0.002,574.888132
0.004,240,900,0.003,0.025,0.04,0.004,577.884908
0.003,180,900,0.003,0.025,0.02,0.003,1500.0
0.005,240,1200,0.004,0.025,0.015,0.005,724.838672
0.004,180,1000,0.0035,0.05,0.02,0.0,654.219281
0.003,200,900,0.004,0.025,0.02,0.003,1173.186053
0.005,240,1200,0.0035,0.0,0.015,0.0025,642.008069
0.003,180,1000,0.003,0.025,0.025,0.0015,922.904206
0.004,180,1000,0.004,0.025,0.0,0.0,577.610807
0.003,200,1200,0.0035,0.05,0.0,0.0,551.649341
0.004,240,900,0.003,0.05,0.0,0.002,570.423436
0.003,200,900,0.0035,0.0,0.025,0.0015,608.900178
0.005,240,1000,0.0035,0.025,0.02,0.0025,1127.348826
0.004,240,1200,0.003,0.025,0.0,0.0,597.349562
0.005,180,1000,0.003,0.0,0.04,0.005,621.544084
0.004,240,900,0.0035,0.025,0.04,0.0,542.844453
0.003,240,1200,0.0035,0.05,0.025,0.003,666.980099
0.003,240,1200,0.003,0.0,0.02,0.0,1315.495183
0.005,200,900,0.004,0.05,0.0,0.0,535.830561
0.004,180,900,0.004,0.05,0.04,0.004,545.817283
0.005,200,1000,0.003,0.025,0.015,0.0,883.897355
0.005,200,900,0.004,0.025,0.0,0.0025,555.95437
0.004,200,1000,0.0035,0.025,0.0,0.002,565.541434
0.003,200,1000,0.004,0.025,0.015,0.0015,570.673519
0.005,240,900,0.0035,0.0,0.015,0.005,582.118154
0.005,200,1200,0.0035,0.025,0.0,0.0025,605.158466
0.004,180,900,0.004,0.05,0.015,0.004,620.662341
0.005,200,1000,0.004,0.05,0.025,0.0,579.727536
0.004,200,900,0.0035,0.0,0.0,0.0,687.024652
0.004,200,1000,0.0035,0.0,0.025,0.0,703.486099
0.003,180,1000,0.003,0.05,0.02,0.0,576.584715
0.004,240,1000,0.0035,0.025,0.0,0.002,556.34857
0.003,200,1200,0.003,0.025,0.015,0.0,581.301053
0.005,200,1200,0.003,0.05,0.02,0.0025,875.827249
0.004,240,1000,0.0035,0.0,0.0,0.0,544.256148
0.003,200,1000,0.003,0.05,0.0,0.0015,576.369218
0.004,180,1200,0.004,0.025,0.0,0.002,560.778874
0.005,180,900,0.0035,0.05,0.02,0.0025,663.062367
0.003,240,900,0.004,0.0,0.025,0.0,762.34286
0.003,240,1200,0.0035,0.05,0.04,0.0,544.295863
0.005,180,1200,0.004,0.05,0.02,0.0,702.411873
0.005,180,900,0.003,0.0,0.0,0.005,608.718474
0.005,240,900,0.004,0.025,0.0,0.0025,516.915205
0.005,180,1200,0.0035,0.0,0.015,0.005,679.391744
0.004,240,900,0.003,0.05,0.0,0.0,570.728522
0.004,200,1000,0.004,0.05,0.0,0.0,547.94034
0.005,200,900,0.0035,0.05,0.02,0.0,672.641517
0.005,200,1200,0.004,0.0,0.04,0.0025,552.452363
0.004,200,1000,0.003,0.05,0.0,0.004,595.731839
0.005,200,1000,0.0035,0.05,0.04,0.0025,560.103674
0.005,240,900,0.003,0.025,0.0,0.0,577.932109
0.003,180,1200,0.003,0.05,0.04,0.0,768.784534
0.005,180,1200,0.0035,0.025,0.025,0.005,845.069268
0.003,180,1200,0.004,0.05,0.0,0.0,530.67992
0.005,200,1200,0.0035,0.0,0.0,0.005,586.389469
0.004,200,1200,0.003,0.05,0.0,0.0,607.385695
0.003,200,1000,0.003,0.025,0.015,0.003,577.810499
0.005,200,1200,0.004,0.025,0.025,0.0,763.654885
0.005,240,1200,0.0035,0.025,0.02,0.0025,1250.718904
0.004,240,900,0.003,0.025,0.04,0.002,578.199417
0.004,200,1000,0.003,0.05,0.015,0.0,905.913989
0.004,200,900,0.003,0.025,0.025,0.004,685.419162
0.003,240,1200,0.003,0.05,0.02,0.0,1386.512871
0.004,240,1000,0.003,0.0,0.015,0.0,689.769543
0.003,180,900,0.004,0.0,0.02,0.003,508.262731
0.003,240,900,0.0035,0.0,0.025,0.0015,864.988016
0.005,200,1000,0.004,0.025,0.015,0.005,715.027699
0.004,240,1000,0.003,0.0,0.0,0.002,581.593723
0.005,180,1000,0.004,0.025,0.015,0.0,744.057483
0.005,200,1000,0.0035,0.025,0.015,0.005,772.783906
0.005,180,1200,0.003,0.0,0.04,0.0025,640.535535
0.004,180,900,0.003,0.0,0.02,0.004,1426.17325
0.003,180,1000,0.004,0.0,0.025,0.003,710.404683
0.004,180,1200,0.003,0.025,0.025,0.002,610.739732
0.004,240,900,0.0035,0.05,0.02,0.002,721.495719
0.003,180,900,0.003,0.025,0.015,0.0015,896.144238
0.005,200,900,0.003,0.05,0.015,0.0,666.998919
0.004,240,1200,0.004,0.025,0.015,0.002,773.924209
0.004,200,900,0.004,0.0,0.02,0.0,736.922051
0.004,200,900,0.004,0.05,0.025,0.002,717.931346
0.004,200,900,0.003,0.05,0.015,0.002,1469.246338
0.005,200,900,0.003,0.025,0.015,0.0025,831.811762
0.003,240,900,0.0035,0.0,0.04,0.0,555.871978
0.005,240,900,0.004,0.0,0.015,0.0,533.030701
0.003,240,1000,0.004,0.025,0.04,0.0,522.945633
0.004,240,900,0.0035,0.05,0.0,0.0,531.291181
0.004,200,1000,0.003,0.05,0.02,0.0,1500.0
0.003,180,1200,0.003,0.025,0.02,0.003,967.625002
0.005,200,900,0.004,0.05,0.015,0.0025,575.532515
0.004,200,1000,0.004,0.025,0.025,0.002,591.277296
0.004,240,900,0.0035,0.025,0.025,0.0,759.499984
0.005,200,1200,0.004,0.05,0.04,0.0,552.452363
0.003,240,1200,0.0035,0.05,0.015,0.0015,670.499248
0.004,240,900,0.003,0.0,0.025,0.004,665.624145
0.004,200,900,0.004,0.025,0.015,0.004,574.809194
0.003,240,1000,0.0035,0.05,0.0,0.0015,522.197046
0.004,200,1200,0.003,0.025,0.04,0.004,607.230609
0.005,200,900,0.004,0.025,0.025,0.0,696.538139
0.003,240,1200,0.0035,0.05,0.02,0.0015,1071.369122
0.004,200,1200,0.0035,0.025,0.025,0.002,868.270258
0.004,180,1200,0.004,0.0,0.025,0.004,879.796236
0.003,200,1200,0.004,0.05,0.02,0.0,883.677305
0.003,200,900,0.0035,0.0,0.04,0.0015,528.709123
0.003,240,1200,0.003,0.0,0.0,0.003,499.299315
0.005,200,900,0.003,0.0,0.04,0.0,585.404506
0.004,240,1000,0.0035,0.0,0.025,0.0,620.872037
0.004,240,900,0.003,0.025,0.015,0.0,863.208444
0.004,240,1000,0.003,0.025,0.0,0.0,587.919615
0.003,200,1200,0.004,0.0,0.0,0.0,563.702121
0.005,240,900,0.003,0.05,0.02,0.0025,734.246508
0.005,180,900,0.004,0.025,0.02,0.0025,981.994031
0.003,240,1000,0.0035,0.05,0.02,0.003,907.901916
0.003,180,900,0.003,0.0,0.015,0.0015,691.614065
0.005,240,1000,0.004,0.025,0.0,0.0025,526.787884
0.005,240,1000,0.003,0.0,0.02,0.0,1059.119977
0.005,240,900,0.0035,0.0,0.04,0.0025,529.771637
0.003,240,900,0.004,0.05,0.015,0.003,538.913005
0.005,180,1200,0.003,0.025,0.04,0.005,648.985777
0.004,200,900,0.0035,0.025,0.015,0.0,625.161468
0.004,180,900,0.004,0.0,0.0,0.002,804.645932
0.005,200,1000,0.003,0.05,0.015,0.0025,685.118155
0.004,240,1200,0.0035,0.0,0.025,0.004,659.856141
0.003,180,1200,0.003,0.025,0.04,0.0015,964.563529
0.003,240,1200,0.0035,0.05,0.0,0.003,543.688431
0.004,240,900,0.0035,0.0,0.02,0.002,741.290427
0.005,180,1200,0.003,0.0,0.0,0.0025,639.701821
0.004,200,1200,0.003,0.05,0.015,0.0,741.730028
0.003,240,900,0.003,0.0,0.02,0.0,1500.0
0.003,180,1200,0.004,0.0,0.02,0.0,623.669192
0.003,180,1000,0.004,0.05,0.0,0.003,536.450667
0.005,240,1000,0.004,0.0,0.015,0.0,550.021594
0.005,240,900,0.003,0.025,0.04,0.0025,577.129287
0.005,240,1200,0.0035,0.025,0.025,0.0,811.336883
0.005,240,1000,0.0035,0.0,0.04,0.005,541.951593
0.003,240,900,0.004,0.05,0.0,0.0,471.142303
0.004,240,1200,0.0035,0.05,0.02,0.0,993.688162
0.004,200,1000,0.004,0.025,0.04,0.004,536.932629
0.003,180,1200,0.003,0.0,0.015,0.0015,594.969738
0.005,200,1000,0.004,0.0,0.0,0.0,541.783972
0.004,180,1000,0.003,0.05,0.0,0.002,605.245981
0.004,180,900,0.003,0.05,0.015,0.0,695.524413
0.005,240,1200,0.0035,0.0,0.02,0.0,1005.132225
0.004,240,1200,0.0035,0.025,0.02,0.0,1500.0
0.005,180,1000,0.003,0.0,0.04,0.0,621.544084
0.005,180,1200,0.0035,0.05,0.015,0.0025,679.391744
0.004,180,1200,0.004,0.0,0.04,0.0,593.846161
0.004,200,900,0.004,0.05,0.04,0.002,537.037433
0.003,200,1000,0.004,0.05,0.04,0.003,523.027068
0.005,180,1000,0.004,0.0,0.015,0.0,599.735713
0.003,240,1000,0.003,0.05,0.015,0.0015,706.05638
0.003,240,1200,0.003,0.05,0.0,0.0,574.581301
0.005,200,900,0.004,0.025,0.015,0.0,704.111389
0.005,240,900,0.0035,0.025,0.015,0.005,716.295949
0.005,240,900,0.0035,0.05,0.04,0.0025,529.46164
0.005,200,900,0.0035,0.025,0.04,0.0025,576.723173
0.004,180,900,0.0035,0.0,0.025,0.004,886.645899
0.005,200,1200,0.004,0.0,0.02,0.005,640.45735
0.003,180,1200,0.0035,0.025,0.025,0.0,1500.0
0.003,180,1000,0.0035,0.025,0.02,0.0,843.036597
0.003,180,1200,0.0035,0.025,0.0,0.003,564.535026
0.005,180,1000,0.003,0.0,0.025,0.0,701.318762
0.005,180,900,0.0035,0.0,0.025,0.005,626.34037
0.004,180,1000,0.003,0.05,0.025,0.002,714.518199
0.003,200,1000,0.003,0.05,0.0,0.0,576.369218
0.005,200,1200,0.003,0.025,0.02,0.005,1333.254968
0.004,180,900,0.0035,0.05,0.02,0.004,687.823413
0.004,240,1200,0.0035,0.05,0.015,0.002,661.134827
0.004,200,1200,0.003,0.025,0.015,0.002,944.347774
0.003,180,1200,0.004,0.0,0.0,0.0,564.733581
0.005,200,900,0.004,0.025,0.02,0.0025,958.383179
0.003,200,1000,0.003,0.0,0.015,0.0,567.97027
0.003,180,900,0.0035,0.0,0.0,0.0,566.545494
0.005,200,1000,0.004,0.0,0.015,0.0,586.959265
0.005,180,1200,0.004,0.0,0.02,0.0025,658.131168
0.003,180,900,0.003,0.0,0.04,0.0015,566.345472
0.005,200,900,0.0035,0.0,0.02,0.005,643.607131
0.005,240,1000,0.004,0.0,0.025,0.0,543.135823
0.003,180,1000,0.003,0.0,0.015,0.0,508.987835
0.005,240,1000,0.004,0.05,0.0,0.0,510.243322
0.003,180,1000,0.003,0.0,0.04,0.003,1081.459448
0.005,180,1200,0.0035,0.025,0.02,0.0,1500.0
0.004,240,1000,0.0035,0.05,0.02,0.0,852.306269
0.003,240,1200,0.004,0.05,0.04,0.0,508.506081
0.004,240,900,0.0035,0.025,0.02,0.004,1193.794939
0.003,240,1200,0.004,0.05,0.025,0.0,602.953024
0.005,240,900,0.0035,0.025,0.0,0.0,543.324736
0.005,180,1200,0.004,0.025,0.04,0.0025,604.440945
0.004,240,1200,0.0035,0.0,0.0,0.0,565.705503
0.004,200,900,0.004,0.025,0.025,0.0,573.719721
0.005,180,1000,0.004,0.05,0.04,0.0025,553.245608
0.003,200,1200,0.003,0.0,0.04,0.0015,522.050567
0.004,240,1000,0.0035,0.0,0.02,0.002,801.235584
0.004,180,1000,0.004,0.0,0.04,0.0,838.969831
0.004,200,1200,0.003,0.0,0.015,0.002,741.714403
0.005,240,1000,0.004,0.0,0.02,0.0025,578.83926
0.005,200,1200,0.004,0.05,0.025,0.0,601.731705
0.005,200,1200,0.003,0.025,0.015,0.0,937.26729
0.004,240,1000,0.003,0.025,0.0,0.002,588.247268
0.004,200,900,0.003,0.05,0.025,0.0,591.831024
0.004,200,1000,0.004,0.05,0.0,0.004,547.94034
0.005,240,1200,0.003,0.025,0.0,0.005,602.207667
0.004,200,900,0.003,0.05,0.015,0.004,1404.762184
0.004,240,1200,0.0035,0.0,0.015,0.002,661.580597
0.003,240,1200,0.0035,0.0,0.015,0.003,939.272497
0.003,180,1000,0.004,0.025,0.015,0.0015,537.264582
0.003,240,900,0.004,0.0,0.0,0.0,521.103128
0.004,240,1200,0.0035,0.05,0.02,0.002,898.093493
0.003,240,900,0.003,0.05,0.04,0.0,549.558617
0.003,200,900,0.003,0.0,0.025,0.003,680.413464
0.003,200,1200,0.004,0.0,0.04,0.0015,562.419787
0.004,240,1000,0.0035,0.05,0.015,0.0,622.590882
0.005,240,1000,0.0035,0.05,0.025,0.0,594.630115
0.003,200,1000,0.0035,0.025,0.015,0.003,633.685039
0.003,180,1200,0.004,0.025,0.02,0.003,1456.733797
0.004,200,1200,0.003,0.025,0.025,0.002,944.374255
0.004,180,1200,0.003,0.05,0.04,0.004,623.262832
0.004,200,900,0.004,0.025,0.02,0.002,607.964349
0.005,240,900,0.003,0.0,0.04,0.005,567.113656
0.004,240,900,0.0035,0.0,0.015,0.002,598.781753
0.003,240,900,0.003,0.0,0.0,0.003,543.13917
0.003,200,900,0.004,0.0,0.04,0.0,495.367851
0.004,200,1200,0.004,0.0,0.02,0.0,814.551378
0.003,240,1200,0.0035,0.05,0.02,0.0,1117.328806
0.005,240,1000,0.0035,0.05,0.015,0.0025,603.063991
0.004,180,1200,0.0035,0.025,0.04,0.002,623.262832
0.005,240,900,0.003,0.025,0.04,0.005,576.753589
0.004,180,1200,0.0035,0.0,0.04,0.0,617.583456
0.003,200,900,0.003,0.05,0.015,0.0,690.019833
0.003,180,1200,0.003,0.025,0.025,0.0015,1500.0
0.004,240,1000,0.0035,0.025,0.015,0.0,797.315403
0.005,200,1000,0.0035,0.0,0.02,0.0025,669.801355
0.004,240,900,0.003,0.0,0.015,0.004,666.882537
0.004,240,900,0.004,0.0,0.0,0.0,498.65044
0.005,200,1200,0.003,0.025,0.015,0.0025,912.133982
0.005,240,1200,0.003,0.05,0.02,0.0025,907.102659
0.005,180,1000,0.004,0.05,0.0,0.0025,552.578273
0.003,200,1200,0.003,0.05,0.025,0.0,763.336574
0.004,200,1200,0.003,0.0,0.0,0.004,607.031403
0.004,180,1000,0.0035,0.0,0.015,0.002,915.845321
0.004,240,1000,0.003,0.05,0.025,0.0,689.004457
0.004,240,1200,0.004,0.025,0.025,0.004,768.74378
0.004,200,1200,0.003,0.0,0.02,0.0,1257.965489
0.005,200,1200,0.0035,0.025,0.025,0.0025,824.469195
0.004,240,900,0.0035,0.0,0.04,0.004,531.626124
0.004,180,1200,0.0035,0.0,0.025,0.002,955.81163
0.003,240,900,0.003,0.0,0.025,0.0015,794.913597
0.004,180,1200,0.003,0.05,0.0,0.004,622.52116
0.004,200,1000,0.003,0.025,0.015,0.002,702.180387
0.004,200,1000,0.004,0.025,0.025,0.0,590.94542
0.003,240,1000,0.003,0.0,0.02,0.0015,1145.718714
0.003,180,1200,0.003,0.05,0.025,0.0,1303.994738
0.004,240,1000,0.004,0.0,0.015,0.004,563.088022
0.005,180,1200,0.003,0.0,0.04,0.0,640.048491
0.004,180,900,0.003,0.05,0.0,0.0,592.628989
0.003,240,1000,0.004,0.025,0.015,0.0,627.815883
0.003,240,900,0.004,0.025,0.025,0.0,595.317054
0.005,240,900,0.004,0.025,0.025,0.0,667.475616
0.005,180,1200,0.0035,0.025,0.02,0.005,1219.133298
0.005,180,1000,0.004,0.025,0.0,0.0025,581.356187
0.003,180,1000,0.004,0.0,0.025,0.0015,710.404683
0.003,240,1000,0.0035,0.0,0.025,0.003,891.449656
0.003,200,1200,0.0035,0.0,0.04,0.003,595.180059
0.004,240,1200,0.003,0.05,0.015,0.002,727.284451
0.005,200,1000,0.0035,0.05,0.0,0.0025,559.433835
0.005,240,1200,0.003,0.0,0.015,0.0025,704.68355
0.003,240,900,0.0035,0.05,0.02,0.0,870.062855
0.003,240,1200,0.003,0.0,0.02,0.0015,1238.824951
0.005,240,900,0.004,0.025,0.015,0.0025,666.643049
0.003,240,1200,0.004,0.0,0.025,0.0015,854.624875
0.003,180,1200,0.003,0.025,0.02,0.0015,967.625002
0.005,200,1000,0.003,0.0,0.02,0.0025,778.771699
0.003,240,1200,0.003,0.0,0.025,0.003,710.085569
0.003,180,900,0.003,0.05,0.0,0.003,578.489489
0.003,200,900,0.0035,0.025,0.0,0.0015,541.636755
0.005,180,900,0.004,0.0,0.025,0.005,586.756568
0.004,240,1000,0.0035,0.0,0.025,0.004,620.870058
0.005,240,1200,0.003,0.025,0.04,0.0,600.74053
0.003,200,1000,0.003,0.0,0.02,0.003,710.074934
0.003,180,900,0.003,0.0,0.025,0.003,684.537599
0.005,240,1000,0.003,0.05,0.0,0.0025,578.407218
0.003,180,1000,0.003,0.05,0.0,0.0015,919.570341
0.004,240,1000,0.004,0.05,0.025,0.0,562.107657
0.003,200,1200,0.003,0.0,0.0,0.0,739.441974
0.004,240,1000,0.004,0.025,0.02,0.0,1304.461962
0.005,180,1200,0.004,0.025,0.025,0.005,775.110152
0.003,180,900,0.004,0.025,0.0,0.003,564.418103
0.005,200,900,0.0035,0.025,0.0,0.0,576.851908
0.003,240,900,0.0035,0.025,0.0,0.0,549.124128
0.005,240,1200,0.004,0.05,0.015,0.0025,583.770518
0.004,200,1200,0.003,0.0,0.015,0.004,741.074671
0.004,180,1000,0.004,0.025,0.0,0.004,577.610807
0.005,180,1000,0.0035,0.0,0.0,0.0,586.788134
0.004,240,1200,0.003,0.025,0.025,0.0,933.695634
0.005,180,1200,0.0035,0.0,0.0,0.005,608.69134
0.003,200,900,0.003,0.025,0.02,0.0015,1500.0
0.004,180,900,0.004,0.05,0.025,0.002,598.317148
0.003,200,900,0.004,0.0,0.025,0.0,549.434756
0.003,200,1200,0.0035,0.0,0.025,0.003,963.186491
0.005,240,1000,0.004,0.05,0.04,0.0025,510.506947
0.005,180,900,0.003,0.05,0.0,0.0025,608.718474
0.003,180,900,0.003,0.0,0.025,0.0,684.537701
0.003,180,1000,0.003,0.05,0.04,0.0,1105.62199
0.003,240,1200,0.0035,0.0,0.04,0.003,575.82965
0.005,240,1200,0.003,0.05,0.02,0.0,1173.126837
0.004,180,900,0.0035,0.025,0.04,0.002,593.335933
0.005,180,900,0.003,0.025,0.025,0.005,849.655348
0.005,180,1000,0.0035,0.05,0.04,0.0025,587.524765
0.005,240,1200,0.0035,0.0,0.025,0.0,632.186576
0.003,240,1200,0.004,0.025,0.025,0.0,667.283873
0.004,240,1000,0.004,0.0,0.015,0.0,563.088168
0.004,200,900,0.004,0.05,0.0,0.0,538.006968
0.004,200,900,0.004,0.025,0.0,0.004,526.063836
0.004,200,1200,0.003,0.025,0.02,0.004,1500.0
0.004,200,1200,0.004,0.025,0.025,0.004,794.361992
0.005,200,1200,0.004,0.025,0.0,0.0,575.758828
0.004,180,1200,0.003,0.0,0.025,0.0,762.815274
0.005,180,900,0.003,0.05,0.0,0.0,609.146606
0.004,240,1200,0.003,0.0,0.04,0.0,591.846741
0.004,240,1200,0.004,0.05,0.04,0.002,533.481099
0.003,240,1000,0.0035,0.0,0.015,0.0,895.420102
0.005,200,1200,0.0035,0.05,0.015,0.0,659.971069
0.005,180,1000,0.003,0.025,0.0,0.0,636.566851
0.005,180,1200,0.003,0.05,0.02,0.0,1110.414795
0.003,180,1000,0.0035,0.025,0.015,0.0015,562.371444
0.004,200,1200,0.0035,0.025,0.015,0.0,871.483962
0.003,200,1000,0.004,0.025,0.025,0.0015,507.835552
0.003,180,1000,0.004,0.0,0.025,0.0,740.3064
0.005,180,1200,0.004,0.025,0.015,0.0025,783.707201
0.004,200,1000,0.003,0.025,0.025,0.004,702.947704
0.003,180,1200,0.003,0.025,0.04,0.0,967.135749
0.004,180,1200,0.0035,0.025,0.025,0.0,762.431037
0.005,240,900,0.004,0.025,0.015,0.0,673.22215
0.004,180,1200,0.0035,0.0,0.04,0.002,617.953436
0.005,240,1200,0.0035,0.025,0.0,0.0025,573.444897
0.005,240,1000,0.003,0.025,0.025,0.0025,826.134429
0.004,180,1000,0.003,0.0,0.015,0.004,735.474156
0.003,180,1000,0.003,0.0,0.025,0.003,714.997453
0.003,240,1200,0.003,0.05,0.015,0.003,752.99116
0.003,240,1000,0.004,0.0,0.0,0.003,534.385131
0.004,200,1000,0.004,0.025,0.0,0.002,536.594846
0.003,240,1000,0.003,0.025,0.015,0.0,539.092117
0.003,240,1200,0.004,0.0,0.0,0.0,551.654329
0.005,180,900,0.0035,0.05,0.04,0.0025,571.497733
0.005,200,1000,0.0035,0.0,0.025,0.0,617.408886
0.003,200,1000,0.0035,0.05,0.02,0.0,552.659626
0.004,180,1000,0.0035,0.025,0.0,0.0,605.245981
0.005,240,900,0.003,0.05,0.04,0.0025,567.113656
0.003,240,1200,0.003,0.05,0.025,0.003,748.809407
0.004,240,1000,0.003,0.05,0.015,0.0,690.266289
0.004,200,1200,0.004,0.0,0.04,0.0,552.889769
0.005,200,1000,0.0035,0.05,0.025,0.0025,617.398768
0.004,240,900,0.0035,0.05,0.04,0.0,531.886719
0.005,180,1000,0.003,0.025,0.015,0.0025,888.097404
0.003,200,900,0.0035,0.0,0.04,0.003,528.709123
0.003,200,900,0.0035,0.05,0.025,0.0,609.138482
0.003,200,900,0.0035,0.025,0.025,0.0015,784.607632
0.005,200,900,0.0035,0.0,0.015,0.0,615.3207
0.003,180,1200,0.0035,0.025,0.02,0.003,887.507928
0.004,180,1200,0.003,0.0,0.015,0.004,760.202914
0.003,240,900,0.004,0.05,0.04,0.003,471.640517
0.004,240,900,0.0035,0.0,0.0,0.002,531.291181
